,Sample,Host.type,percent,vOTU.number,group
105,A4,Eukaryota,95.77402779,297,VPC
106,A4,Bacteria,1.00165933,254,VPC
107,A4,Archaea,0.091244319,6,VPC
108,A4,Unknown,3.133068561,586,VPC
109,A5,Eukaryota,99.05943759,226,VPC
110,A5,Bacteria,0.130738671,181,VPC
111,A5,Archaea,0.005255345,5,VPC
112,A5,Unknown,0.804568389,361,VPC
113,A6,Eukaryota,96.97326094,256,VPC
114,A6,Bacteria,0.603213804,178,VPC
115,A6,Archaea,0.037839571,6,VPC
116,A6,Unknown,2.385685684,447,VPC
117,A7,Eukaryota,97.58584025,268,VPC
118,A7,Bacteria,0.352626819,197,VPC
119,A7,Archaea,0.019515029,6,VPC
120,A7,Unknown,2.042017903,454,VPC
121,A8,Eukaryota,57.722204,250,VPC
122,A8,Bacteria,29.74143455,271,VPC
123,A8,Archaea,0.007799596,3,VPC
124,A8,Unknown,12.52856185,485,VPC
125,B1,Eukaryota,47.03780568,329,VPC
126,B1,Bacteria,5.366042014,1047,VPC
127,B1,Archaea,32.7271438,1,VPC
128,B1,Unknown,14.86900851,588,VPC
129,B10,Eukaryota,46.44886925,81,VPC
130,B10,Bacteria,2.666627694,155,VPC
131,B10,Archaea,0.06456679,2,VPC
132,B10,Unknown,50.81993626,174,VPC
133,B2,Eukaryota,64.99912661,520,VPC
134,B2,Bacteria,8.995227138,1255,VPC
135,B2,Archaea,1.474893016,3,VPC
136,B2,Unknown,24.53075323,965,VPC
137,B3,Eukaryota,47.0900819,625,VPC
138,B3,Bacteria,30.22045504,1534,VPC
139,B3,Archaea,4.431192131,11,VPC
140,B3,Unknown,18.25827093,1637,VPC
141,B4,Eukaryota,46.41382756,653,VPC
142,B4,Bacteria,15.59333481,1258,VPC
143,B4,Archaea,1.523031464,8,VPC
144,B4,Unknown,36.46980617,1503,VPC
145,B5,Eukaryota,40.22683355,396,VPC
146,B5,Bacteria,0.891336157,392,VPC
147,B5,Archaea,0.113199645,8,VPC
148,B5,Unknown,58.76863065,747,VPC
149,B6,Eukaryota,50.4702196,560,VPC
150,B6,Bacteria,3.559232538,688,VPC
151,B6,Archaea,0.124807042,11,VPC
152,B6,Unknown,45.84574082,1227,VPC
153,B7,Eukaryota,28.03882273,493,VPC
154,B7,Bacteria,1.122504139,592,VPC
155,B7,Archaea,0.055114221,16,VPC
156,B7,Unknown,70.78355891,1034,VPC
157,B8,Eukaryota,39.00295002,468,VPC
158,B8,Bacteria,6.394657452,406,VPC
159,B8,Archaea,0.045175975,9,VPC
160,B8,Unknown,54.55721655,788,VPC
161,B9,Eukaryota,42.15026189,437,VPC
162,B9,Bacteria,4.949498024,384,VPC
163,B9,Archaea,0.053912632,8,VPC
164,B9,Unknown,52.84632745,851,VPC
165,C1,Eukaryota,77.71092792,558,VPC
166,C1,Bacteria,11.54284,565,VPC
167,C1,Archaea,0.085638407,12,VPC
168,C1,Unknown,10.66059367,834,VPC
169,C3,Eukaryota,88.49873747,45,VPC
170,C3,Bacteria,1.266769061,56,VPC
171,C3,Archaea,0,0,VPC
172,C3,Unknown,10.23449347,88,VPC
173,C2,Eukaryota,31.2294935,588,VPC
174,C2,Bacteria,35.65725853,381,VPC
175,C2,Archaea,0.009918925,7,VPC
176,C2,Unknown,33.10332905,845,VPC
